[20, 1, 0.05, [0, 0]] 
[21, 2, 0.09523809523809523, [1, 1]] 
[21, 0, 0.0, [2, 2]] 
[20, 8, 0.4, [3, 0]] 
[19, 4, 0.21052631578947367, [4, 1]] 
[19, 3, 0.15789473684210525, [5, 2]] 
[19, 4, 0.21052631578947367, [6, 3]] 
[19, 5, 0.2631578947368421, [7, 4]] 
[19, 3, 0.15789473684210525, [8, 5]] 
[18, 5, 0.2777777777777778, [9, 6]] 
[19, 3, 0.15789473684210525, [10, 7]] 
[18, 2, 0.1111111111111111, [11, 8]] 
[19, 2, 0.10526315789473684, [12, 9]] 
[19, 4, 0.21052631578947367, [13, 10]] 
[19, 2, 0.10526315789473684, [14, 11]] 
[19, 2, 0.10526315789473684, [15, 12]] 
[19, 4, 0.21052631578947367, [16, 13]] 
[19, 2, 0.10526315789473684, [17, 14]] 
[19, 2, 0.10526315789473684, [18, 15]] 
[19, 2, 0.10526315789473684, [19, 16]] 
[19, 2, 0.10526315789473684, [20, 17]] 
[19, 3, 0.15789473684210525, [21, 18]] 
[19, 4, 0.21052631578947367, [22, 19]] 
[19, 2, 0.10526315789473684, [23, 20]] 
[19, 2, 0.10526315789473684, [24, 21]] 
[19, 2, 0.10526315789473684, [25, 22]] 
[18, 2, 0.1111111111111111, [26, 23]] 
[18, 4, 0.2222222222222222, [27, 24]] 
